Earn Poll,,,,,,,,,,,,Spend (offer info)Amazon GiftCard,,,,,,,,
WalletAddress,Brand,OfferName = internal identifier for noa,Amount,Title = MarketPlace title 14 characters,Description = MarketPlace subtitle 18 characters,Image,OrderTitle = (transactions page),OrderDescription = (transactions page),CapTotal = Offer cap total,CapPerUser = Offer cap per user,PollQuestionId,PollPageType,PollTitle 38 characters,PollRewardText 24 characters,PollRewardValue,PollDescription 24 characters (including the Kin number amount),PollAnswer1 = #1 : 22 each answer.,PollAnswer2 =  #2 : 22 each answer.,PollAnswer3 =  #3 : 22 each answer.,PollAnswer4 =  #4:  22 each answer.
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Online Poll #1,30,Take a survey,Share a thought,https://cdn.kinecosystem.com/thumbnails/offers/internet_poll.png,Poll,Completed,1000,1,1,FullPageMultiChoice,Who do you think uses FB the most?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,My parents,Younger brother or sister,Everyone uses it,Definitely not me
,,,,,,,,,,,2,FullPageMultiChoice,How do you spend your free time?,,${amount},,Hanging out with friends,With my family,On my own,Online
,,,,,,,,,,,3,FullPageMultiChoice,How much time do you spend online?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Over 2 hours a day,About an hour,As little as possible,Basically all day
,,,,,,,,,,,,EarnThankYou,,${amount},${amount},${amount},,,,
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Finance Poll #1,30,Tell us more!,Share your opinion,https://cdn.kinecosystem.com/thumbnails/offers/finance_poll.png,Poll,Completed,1000,1,1,FullPageMultiChoice,Which of these brands is your favorite?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Pixar,Converse,Adidas,Apple
,,,,,,,,,,,2,FullPageMultiChoice,Which cause would you donate to?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Wild life protection,Environmental causes,Global poverty,Education
,,,,,,,,,,,3,FullPageMultiChoice,What gadgets do you own and love?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Smartwatch,Just my phone,Game console,VR
,,,,,,,,,,,,EarnThankYou,,${amount},${amount},${amount},,,,
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Favourites Poll #1,30,Do you like..,More about you!,https://cdn.kinecosystem.com/thumbnails/offers/favourites_poll.png,Poll,Completed,1000,1,1,FullPageMultiChoice,How do you like to stay fit?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Running,Swimming,Biking,Going to the gym
,,,,,,,,,,,2,FullPageMultiChoice,How would you spend your spring break?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Sleeping,Travelling abroad,Working,With friends
,,,,,,,,,,,3,FullPageMultiChoice,Where would you go for a vacation?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Tropical island,Camping in the woods,City break,Skiing
,,,,,,,,,,,4,FullPageMultiChoice,How would you describe yourself?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,A city person,A country person,A little of both,A pirate
,,,,,,,,,,,5,FullPageMultiChoice,Favorite way to spend a Saturday,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Netflix and chill,Spending time with friends,Going out,Instagram and Facebook
,,,,,,,,,,,,EarnThankYou,,${amount},${amount},${amount},,,,
GDNJRI53DAO63JXQE2COPUDE3B3B6V5GGIIGE5QE4VZQZ5S2EHXHMZ6E,Kin,Future Poll#1,30,Answer a poll,What's your take?,https://cdn.kinecosystem.com/thumbnails/offers/earn-cover-images-v2/answer_poll.png,Poll,Completed,1000,1,1,FullPageMultiChoice,What are your career aspirations?,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Find a great company to work for,Have my own startup,Work freelance,Retire ASAP
,,,,,,,,,,,2,FullPageMultiChoice,As President I would fight for,Complete the poll to earn,${amount},Complete the poll to earn ${amount} Kin,Education,Health care,Data privacy laws,The right to party!
