Type,Key,Default,Translation,Character Limit
poll,offer:OMqStC0KfwFT3HRjXk3k2:title,Take a survey,Fazer pesquisa,14
poll,offer:OMqStC0KfwFT3HRjXk3k2:description,Answer a poll,Responder enquete,18
poll,offer:OMqStC0KfwFT3HRjXk3k2:orderTitle,Poll,Enquete,8
poll,offer:OMqStC0KfwFT3HRjXk3k2:orderDescription,Completed,Concluído,24
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[0].title,I want to build a...,Quero construir...,38
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[0].question.answers[0],Treehouse,Uma casa na árvore,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[0].question.answers[1],Surfboard,Uma prancha de surfe,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[0].question.answers[2],Rocking chair,Uma cadeira de balanço,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[0].question.answers[3],Race car,Um carro de corrida,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[1].title,What will you do this weekend?,O que você fará neste fim de semana?,38
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[1].question.answers[0],Work,Trabalho,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[1].question.answers[1],Study,Estudar,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[1].question.answers[2],Party,Festejar,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[1].question.answers[3],Relax,Descansar,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[2].title,What is the priciest thing you bought?,Qual a coisa mais cara que já comprou?,38
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[2].question.answers[0],New phone,Telefone novo,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[2].question.answers[1],Laptop,Laptop,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[2].question.answers[2],House,Casa,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[2].question.answers[3],Bachelor's degree,Diploma,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[3].title,I will eventually learn how to...,Talvez um dia eu aprenda a...,38
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[3].question.answers[0],Play an instrument,Tocar um instrumento,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[3].question.answers[1],Skate,Andar de skate,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[3].question.answers[2],Bake a cake,Fazer um bolo,22
poll,offer_contents:OMqStC0KfwFT3HRjXk3k2:content:pages[3].question.answers[3],Fly a plane,Pilotar um avião,22
poll,offer:OGtPCXkdlBTKLoemVnEcL:title,Would you?,Você faria?,14
poll,offer:OGtPCXkdlBTKLoemVnEcL:description,Answer a poll,Responder enquete,18
poll,offer:OGtPCXkdlBTKLoemVnEcL:orderTitle,Poll,Enquete,8
poll,offer:OGtPCXkdlBTKLoemVnEcL:orderDescription,Completed,Concluído,24
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[0].title,Would you read a book for 50 Kin?,Você leria um livro por 50 Kin?,38
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[0].question.answers[0],Very likely,Muito provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[0].question.answers[1],Somewhat likely,Provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[0].question.answers[2],Not so likely,Pouco provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[0].question.answers[3],Not at all likely,Nada provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[1].title,Would you clean your room for 20 Kin?,Você limparia seu quarto por 20 Kin?,38
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[1].question.answers[0],Very likely,Muito provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[1].question.answers[1],Somewhat likely,Provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[1].question.answers[2],Not so likely,Pouco provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[1].question.answers[3],Not at all likely,Nada provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[2].title,Would you donate clothes for 30 Kin?,Você doaria roupas por 30 Kin?,38
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[2].question.answers[0],Very likely,Muito provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[2].question.answers[1],Somewhat likely,Provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[2].question.answers[2],Not so likely,Pouco provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[2].question.answers[3],Not at all likely,Nada provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[3].title,Would you call a friend for 5 Kin?,Você ligaria para um amigo por 5 Kin?,38
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[3].question.answers[0],Very likely,Muito provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[3].question.answers[1],Somewhat likely,Provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[3].question.answers[2],Not so likely,Pouco provável,22
poll,offer_contents:OGtPCXkdlBTKLoemVnEcL:content:pages[3].question.answers[3],Not at all likely,Nada provável,22
poll,offer:Oq8J4Y7e82uJOCH8w7O0M:title,Answer a poll,Resp. enquete,14
poll,offer:Oq8J4Y7e82uJOCH8w7O0M:description,Let us know!,Avise-nos!,18
poll,offer:Oq8J4Y7e82uJOCH8w7O0M:orderTitle,Poll,Enquete,8
poll,offer:Oq8J4Y7e82uJOCH8w7O0M:orderDescription,Completed,Concluído,24
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[0].title,I would paint pictures of...,Eu pintaria imagens de...,38
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[0].question.answers[0],Flowers,Flores,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[0].question.answers[1],Sunsets,Pôr do sol,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[0].question.answers[2],People,Pessoas,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[0].question.answers[3],Animals,Animais,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[1].title,I would write songs about...,Eu escreveria músicas sobre...,38
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[1].question.answers[0],My ex,Meu/minha ex,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[1].question.answers[1],Something political,Política,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[1].question.answers[2],Partying,Festa,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[1].question.answers[3],Cats & dogs,Gatos e cachorros,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[2].title,I will spend my next $5 on...,Gastaria meus próximos $ 5 em...,38
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[2].question.answers[0],Public transportation,Transporte público,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[2].question.answers[1],Food,Comida,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[2].question.answers[2],Cigarettes,Cigarro,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[2].question.answers[3],Charity,Caridade,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[3].title,The next meal I will eat will be...,A próxima refeição que comerei será...,38
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[3].question.answers[0],Breakfast ,Café da manhã ,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[3].question.answers[1],Lunch,Almoço,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[3].question.answers[2],Dinner,Jantar,22
poll,offer_contents:Oq8J4Y7e82uJOCH8w7O0M:content:pages[3].question.answers[3],Snack,Lanche,22
poll,offer:OKTfJ1hJFBlL2hTxg5nuN:title,Travel much?,Viaja muito?,14
poll,offer:OKTfJ1hJFBlL2hTxg5nuN:description,Let us know!,Avise-nos!,18
poll,offer:OKTfJ1hJFBlL2hTxg5nuN:orderTitle,Poll,Enquete,8
poll,offer:OKTfJ1hJFBlL2hTxg5nuN:orderDescription,Completed,Concluído,24
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].title,What is your ideal vacation?,Quais são as suas férias ideais?,38
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].question.answers[0],Camping,Acampamento,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].question.answers[1],Winter wonderland,Paraíso de inverno,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].question.answers[2],Beach resort,Resort na praia,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[0].question.answers[3],Backpacking,Mochilão,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].title,Who do you like to travel with?,Com quem gostaria de viajar?,38
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].question.answers[0],My family,Minha família,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].question.answers[1],Myself,Sozinho(a),22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].question.answers[2],Friends,Amigos,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[1].question.answers[3],My Partner,Companheiro(a),22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].title,How do you decide where to go?,Como você decide para onde ir?,38
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].question.answers[0],Whatever is cheap,O que for mais barato,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].question.answers[1],Where my friends went,Onde amigos já foram,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].question.answers[2],Pinterest,Pinterest,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[2].question.answers[3],Pick at random,Escolha aleatória,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].title,How long do you travel for?,Por quanto tempo você viaja?,38
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].question.answers[0],Just the weekend,Apenas fim de semana,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].question.answers[1],2 weeks minimum,Pelo menos 2 semanas,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].question.answers[2],1 - 3 months,De 1 a 3 meses,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[3].question.answers[3],Never have time,Nunca tenho tempo,22
poll,offer_contents:OKTfJ1hJFBlL2hTxg5nuN:content:pages[4].description,${amount},${amount},24
poll,offer:O8ouvUge0p0btS7FgoAkd:title,Take a Survey,Fazer pesquisa,14
poll,offer:O8ouvUge0p0btS7FgoAkd:description,Do you like...,Você gosta de...,18
poll,offer:O8ouvUge0p0btS7FgoAkd:orderTitle,Poll,Enquete,8
poll,offer:O8ouvUge0p0btS7FgoAkd:orderDescription,Completed,Concluído,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].title,What movies do you like more?,Quais são seus filmes preferidos?,38
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].question.answers[0],Horror,Terror,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].question.answers[1],Action,Ação,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].question.answers[2],Drama,Drama,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[0].question.answers[3],Comedy,Comédia,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].title,What do you eat when watching a movie?,O que come enquanto assiste a filmes?,38
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[0],Popcorn,Pipoca,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[1],Candy,Doces,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[2],Salad,Salada,22
